retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of sales by premium payment method type and product type,Q1-2019,ISA,Regular Payment,11950
Number of sales by premium payment method type and product type,Q1-2020,ISA,Regular Payment,15153
Number of sales by premium payment method type and product type,Q1-2017,ISA,Regular Payment,29933
Number of sales by premium payment method type and product type,Q1-2018,ISA,Regular Payment,33310
Number of sales by premium payment method type and product type,Q1-2021,ISA,Regular Payment,33409
Number of sales by premium payment method type and product type,Q2-2019,ISA,Regular Payment,14625
Number of sales by premium payment method type and product type,Q2-2020,ISA,Regular Payment,17460
Number of sales by premium payment method type and product type,Q2-2017,ISA,Regular Payment,26974
Number of sales by premium payment method type and product type,Q2-2018,ISA,Regular Payment,27076
Number of sales by premium payment method type and product type,Q2-2021,ISA,Regular Payment,30205
Number of sales by premium payment method type and product type,Q3-2019,ISA,Regular Payment,11862
Number of sales by premium payment method type and product type,Q3-2020,ISA,Regular Payment,13869
Number of sales by premium payment method type and product type,Q3-2018,ISA,Regular Payment,18879
Number of sales by premium payment method type and product type,Q3-2021,ISA,Regular Payment,23178
Number of sales by premium payment method type and product type,Q3-2017,ISA,Regular Payment,24592
Number of sales by premium payment method type and product type,Q4-2019,ISA,Regular Payment,12508
Number of sales by premium payment method type and product type,Q4-2018,ISA,Regular Payment,13091
Number of sales by premium payment method type and product type,Q4-2020,ISA,Regular Payment,18474
Number of sales by premium payment method type and product type,Q4-2021,ISA,Regular Payment,21630
Number of sales by premium payment method type and product type,Q4-2017,ISA,Regular Payment,25954
Number of sales by premium payment method type and product type,Q1-2019,ISA,Single Payment,37643
Number of sales by premium payment method type and product type,Q1-2017,ISA,Single Payment,47664
Number of sales by premium payment method type and product type,Q1-2018,ISA,Single Payment,50111
Number of sales by premium payment method type and product type,Q1-2020,ISA,Single Payment,65770
Number of sales by premium payment method type and product type,Q1-2021,ISA,Single Payment,262878
Number of sales by premium payment method type and product type,Q2-2018,ISA,Single Payment,40975
Number of sales by premium payment method type and product type,Q2-2019,ISA,Single Payment,41722
Number of sales by premium payment method type and product type,Q2-2017,ISA,Single Payment,47769
Number of sales by premium payment method type and product type,Q2-2020,ISA,Single Payment,80060
Number of sales by premium payment method type and product type,Q2-2021,ISA,Single Payment,138333
Number of sales by premium payment method type and product type,Q3-2018,ISA,Single Payment,37578
Number of sales by premium payment method type and product type,Q3-2017,ISA,Single Payment,41280
Number of sales by premium payment method type and product type,Q3-2019,ISA,Single Payment,42846
Number of sales by premium payment method type and product type,Q3-2020,ISA,Single Payment,73067
Number of sales by premium payment method type and product type,Q3-2021,ISA,Single Payment,130795
Number of sales by premium payment method type and product type,Q4-2018,ISA,Single Payment,32354
Number of sales by premium payment method type and product type,Q4-2017,ISA,Single Payment,40405
Number of sales by premium payment method type and product type,Q4-2019,ISA,Single Payment,43775
Number of sales by premium payment method type and product type,Q4-2020,ISA,Single Payment,105821
Number of sales by premium payment method type and product type,Q4-2021,ISA,Single Payment,128819
Number of sales by premium payment method type and product type,Q1-2021,Long term care insurance,Regular and single payments,133
Number of sales by premium payment method type and product type,Q1-2019,Long term care insurance,Regular and single payments,167
Number of sales by premium payment method type and product type,Q1-2020,Long term care insurance,Regular and single payments,169
Number of sales by premium payment method type and product type,Q1-2017,Long term care insurance,Regular and single payments,236
Number of sales by premium payment method type and product type,Q1-2018,Long term care insurance,Regular and single payments,269
Number of sales by premium payment method type and product type,Q2-2017,Long term care insurance,Regular and single payments,108
Number of sales by premium payment method type and product type,Q2-2020,Long term care insurance,Regular and single payments,118
Number of sales by premium payment method type and product type,Q2-2021,Long term care insurance,Regular and single payments,156
Number of sales by premium payment method type and product type,Q2-2018,Long term care insurance,Regular and single payments,233
Number of sales by premium payment method type and product type,Q2-2019,Long term care insurance,Regular and single payments,255
Number of sales by premium payment method type and product type,Q3-2020,Long term care insurance,Regular and single payments,160
Number of sales by premium payment method type and product type,Q3-2021,Long term care insurance,Regular and single payments,174
Number of sales by premium payment method type and product type,Q3-2018,Long term care insurance,Regular and single payments,254
Number of sales by premium payment method type and product type,Q3-2019,Long term care insurance,Regular and single payments,255
Number of sales by premium payment method type and product type,Q3-2017,Long term care insurance,Regular and single payments,282
Number of sales by premium payment method type and product type,Q4-2020,Long term care insurance,Regular and single payments,153
Number of sales by premium payment method type and product type,Q4-2021,Long term care insurance,Regular and single payments,184
Number of sales by premium payment method type and product type,Q4-2017,Long term care insurance,Regular and single payments,263
Number of sales by premium payment method type and product type,Q4-2019,Long term care insurance,Regular and single payments,272
Number of sales by premium payment method type and product type,Q4-2018,Long term care insurance,Regular and single payments,299
Number of sales by premium payment method type and product type,Q1-2019,Occupational pensions,Regular Payment,22586
Number of sales by premium payment method type and product type,Q1-2018,Occupational pensions,Regular Payment,23811
Number of sales by premium payment method type and product type,Q1-2017,Occupational pensions,Regular Payment,25400
Number of sales by premium payment method type and product type,Q1-2020,Occupational pensions,Regular Payment,32413
Number of sales by premium payment method type and product type,Q1-2021,Occupational pensions,Regular Payment,44958
Number of sales by premium payment method type and product type,Q2-2020,Occupational pensions,Regular Payment,25717
Number of sales by premium payment method type and product type,Q2-2017,Occupational pensions,Regular Payment,30129
Number of sales by premium payment method type and product type,Q2-2019,Occupational pensions,Regular Payment,31156
Number of sales by premium payment method type and product type,Q2-2021,Occupational pensions,Regular Payment,31393
Number of sales by premium payment method type and product type,Q2-2018,Occupational pensions,Regular Payment,57099
Number of sales by premium payment method type and product type,Q3-2020,Occupational pensions,Regular Payment,23093
Number of sales by premium payment method type and product type,Q3-2019,Occupational pensions,Regular Payment,27082
Number of sales by premium payment method type and product type,Q3-2021,Occupational pensions,Regular Payment,29092
Number of sales by premium payment method type and product type,Q3-2018,Occupational pensions,Regular Payment,31367
Number of sales by premium payment method type and product type,Q3-2017,Occupational pensions,Regular Payment,52165
Number of sales by premium payment method type and product type,Q4-2017,Occupational pensions,Regular Payment,25857
Number of sales by premium payment method type and product type,Q4-2019,Occupational pensions,Regular Payment,32041
Number of sales by premium payment method type and product type,Q4-2020,Occupational pensions,Regular Payment,36432
Number of sales by premium payment method type and product type,Q4-2018,Occupational pensions,Regular Payment,37426
Number of sales by premium payment method type and product type,Q4-2021,Occupational pensions,Regular Payment,42842
Number of sales by premium payment method type and product type,Q1-2019,Occupational pensions,Single Payment,675
Number of sales by premium payment method type and product type,Q1-2018,Occupational pensions,Single Payment,810
Number of sales by premium payment method type and product type,Q1-2017,Occupational pensions,Single Payment,6172
Number of sales by premium payment method type and product type,Q1-2020,Occupational pensions,Single Payment,6672
Number of sales by premium payment method type and product type,Q1-2021,Occupational pensions,Single Payment,12515
Number of sales by premium payment method type and product type,Q2-2019,Occupational pensions,Single Payment,1656
Number of sales by premium payment method type and product type,Q2-2018,Occupational pensions,Single Payment,1708
Number of sales by premium payment method type and product type,Q2-2017,Occupational pensions,Single Payment,6528
Number of sales by premium payment method type and product type,Q2-2020,Occupational pensions,Single Payment,6682
Number of sales by premium payment method type and product type,Q2-2021,Occupational pensions,Single Payment,8185
Number of sales by premium payment method type and product type,Q3-2017,Occupational pensions,Single Payment,1850
Number of sales by premium payment method type and product type,Q3-2018,Occupational pensions,Single Payment,2681
Number of sales by premium payment method type and product type,Q3-2019,Occupational pensions,Single Payment,3366
Number of sales by premium payment method type and product type,Q3-2021,Occupational pensions,Single Payment,4313
Number of sales by premium payment method type and product type,Q3-2020,Occupational pensions,Single Payment,8656
Number of sales by premium payment method type and product type,Q4-2017,Occupational pensions,Single Payment,4434
Number of sales by premium payment method type and product type,Q4-2021,Occupational pensions,Single Payment,8600
Number of sales by premium payment method type and product type,Q4-2019,Occupational pensions,Single Payment,10299
Number of sales by premium payment method type and product type,Q4-2020,Occupational pensions,Single Payment,11430
Number of sales by premium payment method type and product type,Q4-2018,Occupational pensions,Single Payment,14561
Number of sales by premium payment method type and product type,Q1-2021,Personal pensions,Regular Payment,360588
Number of sales by premium payment method type and product type,Q1-2018,Personal pensions,Regular Payment,392737
Number of sales by premium payment method type and product type,Q1-2019,Personal pensions,Regular Payment,398803
Number of sales by premium payment method type and product type,Q1-2020,Personal pensions,Regular Payment,413341
Number of sales by premium payment method type and product type,Q1-2017,Personal pensions,Regular Payment,423238
Number of sales by premium payment method type and product type,Q2-2021,Personal pensions,Regular Payment,298644
Number of sales by premium payment method type and product type,Q2-2020,Personal pensions,Regular Payment,326005
Number of sales by premium payment method type and product type,Q2-2019,Personal pensions,Regular Payment,446097
Number of sales by premium payment method type and product type,Q2-2018,Personal pensions,Regular Payment,448033
Number of sales by premium payment method type and product type,Q2-2017,Personal pensions,Regular Payment,479501
Number of sales by premium payment method type and product type,Q3-2020,Personal pensions,Regular Payment,255429
Number of sales by premium payment method type and product type,Q3-2021,Personal pensions,Regular Payment,343399
Number of sales by premium payment method type and product type,Q3-2019,Personal pensions,Regular Payment,417893
Number of sales by premium payment method type and product type,Q3-2017,Personal pensions,Regular Payment,442500
Number of sales by premium payment method type and product type,Q3-2018,Personal pensions,Regular Payment,443888
Number of sales by premium payment method type and product type,Q4-2020,Personal pensions,Regular Payment,336377
Number of sales by premium payment method type and product type,Q4-2021,Personal pensions,Regular Payment,395412
Number of sales by premium payment method type and product type,Q4-2019,Personal pensions,Regular Payment,443509
Number of sales by premium payment method type and product type,Q4-2018,Personal pensions,Regular Payment,454923
Number of sales by premium payment method type and product type,Q4-2017,Personal pensions,Regular Payment,467848
Number of sales by premium payment method type and product type,Q1-2019,Personal pensions,Single Payment,139966
Number of sales by premium payment method type and product type,Q1-2018,Personal pensions,Single Payment,152519
Number of sales by premium payment method type and product type,Q1-2017,Personal pensions,Single Payment,157855
Number of sales by premium payment method type and product type,Q1-2020,Personal pensions,Single Payment,159359
Number of sales by premium payment method type and product type,Q1-2021,Personal pensions,Single Payment,258638
Number of sales by premium payment method type and product type,Q2-2020,Personal pensions,Single Payment,123334
Number of sales by premium payment method type and product type,Q2-2019,Personal pensions,Single Payment,135154
Number of sales by premium payment method type and product type,Q2-2017,Personal pensions,Single Payment,135934
Number of sales by premium payment method type and product type,Q2-2018,Personal pensions,Single Payment,147820
Number of sales by premium payment method type and product type,Q2-2021,Personal pensions,Single Payment,158499
Number of sales by premium payment method type and product type,Q3-2018,Personal pensions,Single Payment,127233
Number of sales by premium payment method type and product type,Q3-2020,Personal pensions,Single Payment,129177
Number of sales by premium payment method type and product type,Q3-2017,Personal pensions,Single Payment,136811
Number of sales by premium payment method type and product type,Q3-2019,Personal pensions,Single Payment,139296
Number of sales by premium payment method type and product type,Q3-2021,Personal pensions,Single Payment,150360
Number of sales by premium payment method type and product type,Q4-2018,Personal pensions,Single Payment,131496
Number of sales by premium payment method type and product type,Q4-2020,Personal pensions,Single Payment,149122
Number of sales by premium payment method type and product type,Q4-2019,Personal pensions,Single Payment,154444
Number of sales by premium payment method type and product type,Q4-2021,Personal pensions,Single Payment,154471
Number of sales by premium payment method type and product type,Q4-2017,Personal pensions,Single Payment,173017
Number of sales by premium payment method type and product type,Q1-2021,SCARPs,Regular and single payments,1610
Number of sales by premium payment method type and product type,Q1-2019,SCARPs,Regular and single payments,2913
Number of sales by premium payment method type and product type,Q1-2020,SCARPs,Regular and single payments,3779
Number of sales by premium payment method type and product type,Q1-2018,SCARPs,Regular and single payments,5214
Number of sales by premium payment method type and product type,Q1-2017,SCARPs,Regular and single payments,6149
Number of sales by premium payment method type and product type,Q2-2021,SCARPs,Regular and single payments,728
Number of sales by premium payment method type and product type,Q2-2020,SCARPs,Regular and single payments,2270
Number of sales by premium payment method type and product type,Q2-2018,SCARPs,Regular and single payments,3374
Number of sales by premium payment method type and product type,Q2-2019,SCARPs,Regular and single payments,3684
Number of sales by premium payment method type and product type,Q2-2017,SCARPs,Regular and single payments,5744
Number of sales by premium payment method type and product type,Q3-2021,SCARPs,Regular and single payments,910
Number of sales by premium payment method type and product type,Q3-2020,SCARPs,Regular and single payments,1615
Number of sales by premium payment method type and product type,Q3-2019,SCARPs,Regular and single payments,2517
Number of sales by premium payment method type and product type,Q3-2018,SCARPs,Regular and single payments,3112
Number of sales by premium payment method type and product type,Q3-2017,SCARPs,Regular and single payments,5396
Number of sales by premium payment method type and product type,Q4-2021,SCARPs,Regular and single payments,977
Number of sales by premium payment method type and product type,Q4-2020,SCARPs,Regular and single payments,1992
Number of sales by premium payment method type and product type,Q4-2018,SCARPs,Regular and single payments,3221
Number of sales by premium payment method type and product type,Q4-2019,SCARPs,Regular and single payments,3363
Number of sales by premium payment method type and product type,Q4-2017,SCARPs,Regular and single payments,4220
Number of sales by premium payment method type and product type,Q1-2019,Trusts and OEICs,Regular Payment,1730
Number of sales by premium payment method type and product type,Q1-2017,Trusts and OEICs,Regular Payment,1892
Number of sales by premium payment method type and product type,Q1-2018,Trusts and OEICs,Regular Payment,2067
Number of sales by premium payment method type and product type,Q1-2020,Trusts and OEICs,Regular Payment,2127
Number of sales by premium payment method type and product type,Q1-2021,Trusts and OEICs,Regular Payment,2649
Number of sales by premium payment method type and product type,Q2-2019,Trusts and OEICs,Regular Payment,1863
Number of sales by premium payment method type and product type,Q2-2020,Trusts and OEICs,Regular Payment,2057
Number of sales by premium payment method type and product type,Q2-2018,Trusts and OEICs,Regular Payment,2084
Number of sales by premium payment method type and product type,Q2-2017,Trusts and OEICs,Regular Payment,2342
Number of sales by premium payment method type and product type,Q2-2021,Trusts and OEICs,Regular Payment,3560
Number of sales by premium payment method type and product type,Q3-2019,Trusts and OEICs,Regular Payment,1853
Number of sales by premium payment method type and product type,Q3-2018,Trusts and OEICs,Regular Payment,1927
Number of sales by premium payment method type and product type,Q3-2020,Trusts and OEICs,Regular Payment,2023
Number of sales by premium payment method type and product type,Q3-2017,Trusts and OEICs,Regular Payment,2219
Number of sales by premium payment method type and product type,Q3-2021,Trusts and OEICs,Regular Payment,2511
Number of sales by premium payment method type and product type,Q4-2018,Trusts and OEICs,Regular Payment,1838
Number of sales by premium payment method type and product type,Q4-2017,Trusts and OEICs,Regular Payment,1976
Number of sales by premium payment method type and product type,Q4-2020,Trusts and OEICs,Regular Payment,2155
Number of sales by premium payment method type and product type,Q4-2021,Trusts and OEICs,Regular Payment,2314
Number of sales by premium payment method type and product type,Q4-2019,Trusts and OEICs,Regular Payment,2361
Number of sales by premium payment method type and product type,Q1-2019,Trusts and OEICs,Single Payment,43188
Number of sales by premium payment method type and product type,Q1-2020,Trusts and OEICs,Single Payment,48536
Number of sales by premium payment method type and product type,Q1-2018,Trusts and OEICs,Single Payment,50542
Number of sales by premium payment method type and product type,Q1-2021,Trusts and OEICs,Single Payment,53763
Number of sales by premium payment method type and product type,Q1-2017,Trusts and OEICs,Single Payment,56118
Number of sales by premium payment method type and product type,Q2-2020,Trusts and OEICs,Single Payment,42903
Number of sales by premium payment method type and product type,Q2-2019,Trusts and OEICs,Single Payment,46565
Number of sales by premium payment method type and product type,Q2-2018,Trusts and OEICs,Single Payment,49714
Number of sales by premium payment method type and product type,Q2-2017,Trusts and OEICs,Single Payment,52131
Number of sales by premium payment method type and product type,Q2-2021,Trusts and OEICs,Single Payment,105224
Number of sales by premium payment method type and product type,Q3-2020,Trusts and OEICs,Single Payment,40301
Number of sales by premium payment method type and product type,Q3-2019,Trusts and OEICs,Single Payment,43937
Number of sales by premium payment method type and product type,Q3-2018,Trusts and OEICs,Single Payment,47274
Number of sales by premium payment method type and product type,Q3-2017,Trusts and OEICs,Single Payment,49044
Number of sales by premium payment method type and product type,Q3-2021,Trusts and OEICs,Single Payment,53690
Number of sales by premium payment method type and product type,Q4-2019,Trusts and OEICs,Single Payment,45833
Number of sales by premium payment method type and product type,Q4-2020,Trusts and OEICs,Single Payment,47145
Number of sales by premium payment method type and product type,Q4-2018,Trusts and OEICs,Single Payment,48800
Number of sales by premium payment method type and product type,Q4-2017,Trusts and OEICs,Single Payment,53795
Number of sales by premium payment method type and product type,Q4-2021,Trusts and OEICs,Single Payment,56051
Number of sales by product type,Q1-2020,Decumulation products,Annuities,9942
Number of sales by product type,Q1-2021,Decumulation products,Annuities,11405
Number of sales by product type,Q1-2018,Decumulation products,Annuities,12956
Number of sales by product type,Q1-2019,Decumulation products,Annuities,13123
Number of sales by product type,Q1-2017,Decumulation products,Annuities,13495
Number of sales by product type,Q2-2020,Decumulation products,Annuities,9476
Number of sales by product type,Q2-2021,Decumulation products,Annuities,10975
Number of sales by product type,Q2-2019,Decumulation products,Annuities,14022
Number of sales by product type,Q2-2018,Decumulation products,Annuities,14248
Number of sales by product type,Q2-2017,Decumulation products,Annuities,14439
Number of sales by product type,Q3-2020,Decumulation products,Annuities,10912
Number of sales by product type,Q3-2021,Decumulation products,Annuities,11227
Number of sales by product type,Q3-2017,Decumulation products,Annuities,13959
Number of sales by product type,Q3-2018,Decumulation products,Annuities,14204
Number of sales by product type,Q3-2019,Decumulation products,Annuities,14328
Number of sales by product type,Q4-2021,Decumulation products,Annuities,10554
Number of sales by product type,Q4-2020,Decumulation products,Annuities,10963
Number of sales by product type,Q4-2019,Decumulation products,Annuities,11845
Number of sales by product type,Q4-2017,Decumulation products,Annuities,12842
Number of sales by product type,Q4-2018,Decumulation products,Annuities,13893
Number of sales by product type,Q1-2021,Endowments,Endowments,3012
Number of sales by product type,Q1-2019,Endowments,Endowments,9928
Number of sales by product type,Q1-2020,Endowments,Endowments,10014
Number of sales by product type,Q1-2017,Endowments,Endowments,10851
Number of sales by product type,Q1-2018,Endowments,Endowments,11058
Number of sales by product type,Q2-2021,Endowments,Endowments,3052
Number of sales by product type,Q2-2020,Endowments,Endowments,7410
Number of sales by product type,Q2-2019,Endowments,Endowments,9169
Number of sales by product type,Q2-2017,Endowments,Endowments,10525
Number of sales by product type,Q2-2018,Endowments,Endowments,10550
Number of sales by product type,Q3-2021,Endowments,Endowments,2889
Number of sales by product type,Q3-2020,Endowments,Endowments,7654
Number of sales by product type,Q3-2019,Endowments,Endowments,10010
Number of sales by product type,Q3-2018,Endowments,Endowments,10920
Number of sales by product type,Q3-2017,Endowments,Endowments,12712
Number of sales by product type,Q4-2021,Endowments,Endowments,2919
Number of sales by product type,Q4-2020,Endowments,Endowments,6053
Number of sales by product type,Q4-2019,Endowments,Endowments,11291
Number of sales by product type,Q4-2018,Endowments,Endowments,11819
Number of sales by product type,Q4-2017,Endowments,Endowments,13624
Number of sales by product type,Q1-2021,Personal pensions,Group personal pension,198570
Number of sales by product type,Q1-2019,Personal pensions,Group personal pension,204971
Number of sales by product type,Q1-2018,Personal pensions,Group personal pension,222079
Number of sales by product type,Q1-2020,Personal pensions,Group personal pension,227714
Number of sales by product type,Q1-2017,Personal pensions,Group personal pension,237986
Number of sales by product type,Q2-2021,Personal pensions,Group personal pension,140120
Number of sales by product type,Q2-2020,Personal pensions,Group personal pension,170173
Number of sales by product type,Q2-2018,Personal pensions,Group personal pension,223198
Number of sales by product type,Q2-2019,Personal pensions,Group personal pension,230786
Number of sales by product type,Q2-2017,Personal pensions,Group personal pension,261803
Number of sales by product type,Q3-2020,Personal pensions,Group personal pension,144080
Number of sales by product type,Q3-2021,Personal pensions,Group personal pension,167639
Number of sales by product type,Q3-2018,Personal pensions,Group personal pension,212343
Number of sales by product type,Q3-2019,Personal pensions,Group personal pension,227481
Number of sales by product type,Q3-2017,Personal pensions,Group personal pension,250562
Number of sales by product type,Q4-2020,Personal pensions,Group personal pension,177033
Number of sales by product type,Q4-2021,Personal pensions,Group personal pension,200170
Number of sales by product type,Q4-2018,Personal pensions,Group personal pension,228410
Number of sales by product type,Q4-2019,Personal pensions,Group personal pension,239481
Number of sales by product type,Q4-2017,Personal pensions,Group personal pension,258686
Number of sales by product type,Q1-2017,Decumulation products,Income drawdown,41758
Number of sales by product type,Q1-2018,Decumulation products,Income drawdown,44722
Number of sales by product type,Q1-2020,Decumulation products,Income drawdown,51146
Number of sales by product type,Q1-2019,Decumulation products,Income drawdown,51911
Number of sales by product type,Q1-2021,Decumulation products,Income drawdown,61337
Number of sales by product type,Q2-2020,Decumulation products,Income drawdown,35529
Number of sales by product type,Q2-2017,Decumulation products,Income drawdown,43294
Number of sales by product type,Q2-2021,Decumulation products,Income drawdown,52383
Number of sales by product type,Q2-2018,Decumulation products,Income drawdown,53039
Number of sales by product type,Q2-2019,Decumulation products,Income drawdown,54313
Number of sales by product type,Q3-2020,Decumulation products,Income drawdown,43757
Number of sales by product type,Q3-2017,Decumulation products,Income drawdown,45061
Number of sales by product type,Q3-2021,Decumulation products,Income drawdown,53180
Number of sales by product type,Q3-2018,Decumulation products,Income drawdown,53444
Number of sales by product type,Q3-2019,Decumulation products,Income drawdown,54915
Number of sales by product type,Q4-2017,Decumulation products,Income drawdown,47935
Number of sales by product type,Q4-2020,Decumulation products,Income drawdown,50222
Number of sales by product type,Q4-2021,Decumulation products,Income drawdown,51200
Number of sales by product type,Q4-2018,Decumulation products,Income drawdown,51354
Number of sales by product type,Q4-2019,Decumulation products,Income drawdown,53277
Number of sales by product type,Q1-2020,Trusts and OEICs,Investment trust,545
Number of sales by product type,Q1-2021,Trusts and OEICs,Investment trust,617
Number of sales by product type,Q1-2019,Trusts and OEICs,Investment trust,883
Number of sales by product type,Q1-2017,Trusts and OEICs,Investment trust,1540
Number of sales by product type,Q1-2018,Trusts and OEICs,Investment trust,2086
Number of sales by product type,Q2-2021,Trusts and OEICs,Investment trust,131
Number of sales by product type,Q2-2020,Trusts and OEICs,Investment trust,466
Number of sales by product type,Q2-2019,Trusts and OEICs,Investment trust,594
Number of sales by product type,Q2-2017,Trusts and OEICs,Investment trust,1597
Number of sales by product type,Q2-2018,Trusts and OEICs,Investment trust,1616
Number of sales by product type,Q3-2021,Trusts and OEICs,Investment trust,91
Number of sales by product type,Q3-2020,Trusts and OEICs,Investment trust,436
Number of sales by product type,Q3-2019,Trusts and OEICs,Investment trust,478
Number of sales by product type,Q3-2018,Trusts and OEICs,Investment trust,1377
Number of sales by product type,Q3-2017,Trusts and OEICs,Investment trust,1397
Number of sales by product type,Q4-2021,Trusts and OEICs,Investment trust,109
Number of sales by product type,Q4-2019,Trusts and OEICs,Investment trust,369
Number of sales by product type,Q4-2020,Trusts and OEICs,Investment trust,456
Number of sales by product type,Q4-2018,Trusts and OEICs,Investment trust,1059
Number of sales by product type,Q4-2017,Trusts and OEICs,Investment trust,1554
Number of sales by product type,Q1-2019,ISA,ISA,49593
Number of sales by product type,Q1-2017,ISA,ISA,77597
Number of sales by product type,Q1-2020,ISA,ISA,80923
Number of sales by product type,Q1-2018,ISA,ISA,83421
Number of sales by product type,Q1-2021,ISA,ISA,296287
Number of sales by product type,Q2-2019,ISA,ISA,56347
Number of sales by product type,Q2-2018,ISA,ISA,68051
Number of sales by product type,Q2-2017,ISA,ISA,74743
Number of sales by product type,Q2-2020,ISA,ISA,97520
Number of sales by product type,Q2-2021,ISA,ISA,168538
Number of sales by product type,Q3-2019,ISA,ISA,54708
Number of sales by product type,Q3-2018,ISA,ISA,56457
Number of sales by product type,Q3-2017,ISA,ISA,65872
Number of sales by product type,Q3-2020,ISA,ISA,86936
Number of sales by product type,Q3-2021,ISA,ISA,153973
Number of sales by product type,Q4-2018,ISA,ISA,45445
Number of sales by product type,Q4-2019,ISA,ISA,56283
Number of sales by product type,Q4-2017,ISA,ISA,66359
Number of sales by product type,Q4-2020,ISA,ISA,124295
Number of sales by product type,Q4-2021,ISA,ISA,150449
Number of sales by product type,Q1-2021,Long term care insurance,Long term care insurance,133
Number of sales by product type,Q1-2019,Long term care insurance,Long term care insurance,167
Number of sales by product type,Q1-2020,Long term care insurance,Long term care insurance,169
Number of sales by product type,Q1-2017,Long term care insurance,Long term care insurance,236
Number of sales by product type,Q1-2018,Long term care insurance,Long term care insurance,269
Number of sales by product type,Q2-2017,Long term care insurance,Long term care insurance,108
Number of sales by product type,Q2-2020,Long term care insurance,Long term care insurance,118
Number of sales by product type,Q2-2021,Long term care insurance,Long term care insurance,156
Number of sales by product type,Q2-2018,Long term care insurance,Long term care insurance,233
Number of sales by product type,Q2-2019,Long term care insurance,Long term care insurance,255
Number of sales by product type,Q3-2020,Long term care insurance,Long term care insurance,160
Number of sales by product type,Q3-2021,Long term care insurance,Long term care insurance,174
Number of sales by product type,Q3-2018,Long term care insurance,Long term care insurance,254
Number of sales by product type,Q3-2019,Long term care insurance,Long term care insurance,255
Number of sales by product type,Q3-2017,Long term care insurance,Long term care insurance,282
Number of sales by product type,Q4-2020,Long term care insurance,Long term care insurance,153
Number of sales by product type,Q4-2021,Long term care insurance,Long term care insurance,184
Number of sales by product type,Q4-2017,Long term care insurance,Long term care insurance,263
Number of sales by product type,Q4-2019,Long term care insurance,Long term care insurance,272
Number of sales by product type,Q4-2018,Long term care insurance,Long term care insurance,299
Number of sales by product type,Q1-2019,Occupational pensions,Occupational pensions,23261
Number of sales by product type,Q1-2018,Occupational pensions,Occupational pensions,24621
Number of sales by product type,Q1-2017,Occupational pensions,Occupational pensions,31572
Number of sales by product type,Q1-2020,Occupational pensions,Occupational pensions,39085
Number of sales by product type,Q1-2021,Occupational pensions,Occupational pensions,57473
Number of sales by product type,Q2-2020,Occupational pensions,Occupational pensions,32399
Number of sales by product type,Q2-2019,Occupational pensions,Occupational pensions,32812
Number of sales by product type,Q2-2017,Occupational pensions,Occupational pensions,36657
Number of sales by product type,Q2-2021,Occupational pensions,Occupational pensions,39578
Number of sales by product type,Q2-2018,Occupational pensions,Occupational pensions,58807
Number of sales by product type,Q3-2019,Occupational pensions,Occupational pensions,30448
Number of sales by product type,Q3-2020,Occupational pensions,Occupational pensions,31749
Number of sales by product type,Q3-2021,Occupational pensions,Occupational pensions,33405
Number of sales by product type,Q3-2018,Occupational pensions,Occupational pensions,34048
Number of sales by product type,Q3-2017,Occupational pensions,Occupational pensions,54015
Number of sales by product type,Q4-2017,Occupational pensions,Occupational pensions,30291
Number of sales by product type,Q4-2019,Occupational pensions,Occupational pensions,42340
Number of sales by product type,Q4-2020,Occupational pensions,Occupational pensions,47862
Number of sales by product type,Q4-2021,Occupational pensions,Occupational pensions,51442
Number of sales by product type,Q4-2018,Occupational pensions,Occupational pensions,51987
Number of sales by product type,Q1-2020,Bonds,Other bonds,1031
Number of sales by product type,Q1-2019,Bonds,Other bonds,1294
Number of sales by product type,Q1-2018,Bonds,Other bonds,1705
Number of sales by product type,Q1-2017,Bonds,Other bonds,1989
Number of sales by product type,Q1-2021,Bonds,Other bonds,3366
Number of sales by product type,Q2-2020,Bonds,Other bonds,809
Number of sales by product type,Q2-2019,Bonds,Other bonds,1180
Number of sales by product type,Q2-2021,Bonds,Other bonds,1291
Number of sales by product type,Q2-2018,Bonds,Other bonds,1482
Number of sales by product type,Q2-2017,Bonds,Other bonds,2190
Number of sales by product type,Q3-2020,Bonds,Other bonds,777
Number of sales by product type,Q3-2019,Bonds,Other bonds,1073
Number of sales by product type,Q3-2021,Bonds,Other bonds,1108
Number of sales by product type,Q3-2018,Bonds,Other bonds,1363
Number of sales by product type,Q3-2017,Bonds,Other bonds,2141
Number of sales by product type,Q4-2020,Bonds,Other bonds,780
Number of sales by product type,Q4-2021,Bonds,Other bonds,998
Number of sales by product type,Q4-2019,Bonds,Other bonds,1005
Number of sales by product type,Q4-2018,Bonds,Other bonds,1392
Number of sales by product type,Q4-2017,Bonds,Other bonds,1834
Number of sales by product type,Q1-2017,Personal pensions,Other personal pensions,21052
Number of sales by product type,Q1-2019,Personal pensions,Other personal pensions,22713
Number of sales by product type,Q1-2021,Personal pensions,Other personal pensions,24542
Number of sales by product type,Q1-2020,Personal pensions,Other personal pensions,26035
Number of sales by product type,Q1-2018,Personal pensions,Other personal pensions,30975
Number of sales by product type,Q2-2021,Personal pensions,Other personal pensions,17182
Number of sales by product type,Q2-2020,Personal pensions,Other personal pensions,19047
Number of sales by product type,Q2-2019,Personal pensions,Other personal pensions,22648
